year	title	doi	source	oa
2026	Two-loop QCD amplitudes for $$ t\\overline{t}\\gamma $$ production at hadron colliders	https://doi.org/10.1007/jhep04(2026)005	Journal of High Energy Physics	true
2026	Les Houches 2023 – physics at TeV colliders: Report on the Standard Model precision wishlist	https://doi.org/10.21468/scipostphyscommrep.21	SciPost Physics Community Reports	true
2026	One-loop QCD corrections to the top-quark pair production associated with jet and photon at the LHC through <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" altimg="si25.svg"> <mml:mrow> <mml:mi mathvariant="script">O</mml:mi> <mml:mo>(</mml:mo> <mml:msup> <mml:mi>ϵ</mml:mi> <mml:mn>2</mml:mn> </mml:msup> <mml:mo>)</mml:mo> </mml:mrow> </mml:math>	https://doi.org/10.1016/j.jspc.2026.100347	Journal of subatomic particles and cosmology.	false
2026	Reduction of ϵ-expanded Feynman integrals	https://doi.org/10.1007/jhep02(2026)144	Journal of High Energy Physics	true
2026	Analytic two-loop amplitudes for di-jet and γ+jet production mediated by a heavy-quark loop	https://doi.org/10.1007/jhep01(2026)090	Journal of High Energy Physics	true
2026	Two loop QCD corrections to <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" altimg="si12.svg"> <mml:mrow> <mml:msup> <mml:mi>e</mml:mi> <mml:mo>+</mml:mo> </mml:msup> <mml:msup> <mml:mi>e</mml:mi> <mml:mo>−</mml:mo> </mml:msup> <mml:mo>→</mml:mo> <mml:mi>J</mml:mi> <mml:mo linebreak="goodbreak">/</mml:mo> <mml:mi>ψ</mml:mi> <mml:mo linebreak="goodbreak">+</mml:mo> <mml:msub> <mml:mi>η</mml:mi> <mml:mi>c</mml:mi> </mml:msub> </mml:mrow> </mml:math> in asymptotic expansion	https://doi.org/10.1016/j.physletb.2026.140150	Physics Letters B	true
2026	The unequal-mass three-loop banana integral	https://doi.org/10.1007/jhep01(2026)021	Journal of High Energy Physics	true
2026	Analytic regression of Feynman integrals from high-precision numerical sampling	https://doi.org/10.1007/jhep01(2026)014	Journal of High Energy Physics	true
2026	Feynman diagrams	https://doi.org/10.1016/b978-0-443-26598-3.00085-7	Elsevier eBooks	false
2025	Transition form-factor for $$\\eta _Q$$ at NNLO in the strong coupling $$\\alpha _s$$ and with all-order $$v^2$$ resummation	https://doi.org/10.1140/epjc/s10052-025-15226-2	The European Physical Journal C	true
2025	One-loop amplitudes for $t\\bar{t}j$ and $t\\bar{t}\\gamma$ productions at the LHC through $\\mathcal{O}(\\epsilon^2)$	https://doi.org/10.21468/scipostphys.19.6.165	SciPost Physics	true
2025	Future Circular Collider Feasibility Study Report	https://doi.org/10.1140/epjc/s10052-025-15077-x	The European Physical Journal C	true
2025	Compton-Scattering Total Cross Section at Next-to-Next-to-Leading Order and Resummation of Leading Logarithms	https://doi.org/10.1103/k2mk-mffq	Physical Review Letters	true
2025	Kira 3: Integral reduction with efficient seeding and optimized equation selection	https://doi.org/10.1016/j.cpc.2025.109999	Computer Physics Communications	true
2025	Two-loop helicity amplitudes for diphoton production with massive quark loop	https://doi.org/10.1007/jhep12(2025)106	Journal of High Energy Physics	true
2025	Gravitational Bremsstrahlung in black-hole scattering at 𝒪(G3): quadratic-in-spin effects	https://doi.org/10.1007/jhep12(2025)100	Journal of High Energy Physics	true
2025	Generic two-loop results for trilinear and quartic scalar self-interactions	https://doi.org/10.1007/jhep11(2025)161	Journal of High Energy Physics	true
2025	Two-loop master integrals for mixed QCD-EW corrections to <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"> <mml:mrow> <mml:mi>g</mml:mi> <mml:mi>g</mml:mi> <mml:mo stretchy="false">→</mml:mo> <mml:mi>H</mml:mi> </mml:mrow> </mml:math> through <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"> <mml:mrow> <mml:mi>O</mml:mi> <mml:mo stretchy="false">(</mml:mo> <mml:msup> <mml:mrow> <mml:mi mathvariant="normal">ϵ</mml:mi> </mml:mrow> <mml:mrow> <mml:mn>2</mml:mn> </mml:mrow> </mml:msup> <mml:mo stretchy="false">)</mml:mo> </mml:mrow> </mml:math>	https://doi.org/10.1103/d62t-55k2	Physical review. D/Physical review. D.	true
2025	Three loop master integrals for $$\\mathcal{O}\\left(\\alpha {\\alpha }_{s}^{2}\\right)$$ corrections to quark form factor	https://doi.org/10.1007/jhep10(2025)233	Journal of High Energy Physics	true
2025	On-shell matrix elements of the EMT trace in gauge theories and heavy quark masses	https://doi.org/10.1016/j.physletb.2025.139935	Physics Letters B	true
2025	Electroweak corrections to Higgs+jet production in gluon fusion	https://doi.org/10.1007/jhep10(2025)194	Journal of High Energy Physics	true
2025	Evaluating Feynman integrals through differential equations and series expansions	https://doi.org/10.1140/epjs/s11734-025-01995-0	The European Physical Journal Special Topics	true
2025	Fast evaluation of Feynman integrals for Monte Carlo generators	https://doi.org/10.1007/jhep09(2025)210	Journal of High Energy Physics	true
2025	The gg → HH amplitude induced by bottom quarks at two-loop level: planar master integrals	https://doi.org/10.1007/jhep09(2025)132	Journal of High Energy Physics	true
2025	One-loop QCD corrections to ūd → $$ t\\overline{t}W $$ at $$ \\mathcal{O}\\left({\\varepsilon}^2\\right) $$	https://doi.org/10.1007/jhep09(2025)126	Journal of High Energy Physics	true
2025	Dihadron angular correlations in the e+e− collision	https://doi.org/10.1007/jhep09(2025)051	Journal of High Energy Physics	true
2025	The structure of quark mass corrections in the gg → HH amplitude at high-energy	https://doi.org/10.1007/jhep09(2025)015	Journal of High Energy Physics	true
2025	Three-loop large-Nc virtual corrections to gg → HH in the forward limit	https://doi.org/10.1007/jhep08(2025)192	Journal of High Energy Physics	true
2025	LINE: Loop Integrals Numerical Evaluation	https://doi.org/10.1007/jhep07(2025)219	Journal of High Energy Physics	true
2025	Identifying regions for asymptotic expansions of amplitudes: Fundamentals and recent advances	https://doi.org/10.1142/s0217751x25300133	International Journal of Modern Physics A	true
2025	InvSim algorithm for pre-computing airplane flight controls in limited-range autonomous missions, and demonstration via double-roll maneuver of Mirage III fighters	https://doi.org/10.1038/s41598-025-07639-6	Scientific Reports	true
2025	Two-loop light-quark Electroweak corrections to Higgs boson pair production in gluon fusion	https://doi.org/10.1007/jhep07(2025)024	Journal of High Energy Physics	true
2025	Rare W → Bc + γ decay up to the NNLO and NLL accuracy in QCD	https://doi.org/10.1007/jhep07(2025)042	Journal of High Energy Physics	true
2025	Two-loop Feynman integrals for leading colour $$ t\\overline{t}W $$ production at hadron colliders	https://doi.org/10.1007/jhep07(2025)001	Journal of High Energy Physics	true
2025	High-precision numerical evaluation of Lauricella functions	https://doi.org/10.1016/j.nuclphysb.2025.116994	Nuclear Physics B	true
2025	Local form factor subtraction for three-loop QCD corrections to electroweak production in quark-antiquark annihilation	https://doi.org/10.1007/jhep06(2025)257	Journal of High Energy Physics	true
2025	The canonical differential equations of the one-loop-like integrals	https://doi.org/10.1007/jhep06(2025)245	Journal of High Energy Physics	true
2025	Complete Function Space for Planar Two-Loop Six-Particle Scattering Amplitudes	https://doi.org/10.1103/zhzd-tj9p	Physical Review Letters	true
2025	From operator product expansion to anomalous dimensions	https://doi.org/10.1007/jhep06(2025)135	Journal of High Energy Physics	true
2025	On the seven-loop renormalization of Gross-Neveu model	https://doi.org/10.1007/jhep06(2025)134	Journal of High Energy Physics	true
2025	Planar six-point Feynman integrals for four-dimensional gauge theories	https://doi.org/10.1007/jhep06(2025)112	Journal of High Energy Physics	true
2025	Analytic two-loop amplitudes for $$ q\\overline{q}\\to \\gamma \\gamma $$ and gg → γγ mediated by a heavy-quark loop	https://doi.org/10.1007/jhep06(2025)033	Journal of High Energy Physics	true
2025	Electroweak double-box integrals for Møller scattering	https://doi.org/10.21468/scipostphys.18.6.172	SciPost Physics	true
2025	Higgs production from anomalous gluon dynamics	https://doi.org/10.1007/jhep06(2025)004	Journal of High Energy Physics	true
2025	Comparison of Various Feynman Diagram Calculation Methods for the Decay b → sγ	https://doi.org/10.1134/s1068337225700422	Journal of Contemporary Physics (Armenian Academy of Sciences)	false
2025	Lattice-QCD Computable Quark Correlation Functions at Three-Loop Order and Extraction of Splitting Functions	https://doi.org/10.1103/53ys-3n19	Physical Review Letters	true
2025	Analytic computation of three-loop five-point Feynman integrals	https://doi.org/10.1103/qrk2-cym5	Physical review. D/Physical review. D.	true
2025	A three-body form factor at sub-leading power in the high-energy limit: planar contributions*	https://doi.org/10.1088/1674-1137/addcc7	Chinese Physics C	true
2025	A new method for finding more symmetry relations of Feynman integrals	https://doi.org/10.1016/j.cpc.2025.109681	Computer Physics Communications	false
2025	Efficient computation of one-loop Feynman integrals and fixed-branch integrals to high orders in <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mi>ε</mml:mi></mml:math>	https://doi.org/10.1103/physrevd.111.094028	Physical review. D/Physical review. D.	true
2025	Next-to-Next-to-Leading-Order QCD Prediction for the Pion Form Factor	https://doi.org/10.1103/yx51-lc3q	Physical Review Letters	true
2025	Next-to-leading order QCD corrections to <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:msubsup><mml:mi>B</mml:mi><mml:mi>c</mml:mi><mml:mo>*</mml:mo></mml:msubsup><mml:mo stretchy="false">→</mml:mo><mml:mi>J</mml:mi><mml:mo>/</mml:mo><mml:mi>ψ</mml:mi></mml:math> form factors	https://doi.org/10.1103/physrevd.111.094019	Physical review. D/Physical review. D.	true
2025	Rationalisation of multiple square roots in Feynman integrals	https://doi.org/10.1007/jhep05(2025)078	Journal of High Energy Physics	true
2025	Integrated unitarity for scattering amplitudes and the four-loop ladder Feynman integral	https://doi.org/10.1007/jhep05(2025)004	Journal of High Energy Physics	true
2025	Chiral representation of the nucleon mass at leading two-loop order	https://doi.org/10.1007/jhep04(2025)192	Journal of High Energy Physics	true
2025	Analytic next-to-leading order Yukawa and Higgs boson self-coupling corrections to gg → HH at high energies	https://doi.org/10.1007/jhep04(2025)193	Journal of High Energy Physics	true
2025	Analytic results for some types of Feynman integrals at any loop order	https://doi.org/10.1088/1572-9494/adcf7f	Communications in Theoretical Physics	false
2025	Semi-automatic calculations of multi-loop Feynman amplitudes with AmpRed	https://doi.org/10.1016/j.cpc.2025.109607	Computer Physics Communications	false
2025	Positivity properties of five-point two-loop Wilson loops with Lagrangian insertion	https://doi.org/10.1007/jhep04(2025)022	Journal of High Energy Physics	true
2025	Analytic decay width of the Higgs boson to massive bottom quarks at order $$ {\\alpha}_s^3 $$	https://doi.org/10.1007/jhep03(2025)163	Journal of High Energy Physics	true
2025	On the photon self-energy to three loops in QED	https://doi.org/10.1007/jhep03(2025)148	Journal of High Energy Physics	true
2025	Investigating the universality of five-point QCD scattering amplitudes at high energy	https://doi.org/10.1007/jhep03(2025)129	Journal of High Energy Physics	true
2025	The two-loop fully differential soft function for $$Q\\overline{Q }V$$ production at lepton colliders	https://doi.org/10.1007/jhep03(2025)096	Journal of High Energy Physics	true
2025	Numerical evaluation of two-loop QCD helicity amplitudes for $$ gg\\to t\\overline{t}g $$ at leading colour	https://doi.org/10.1007/jhep03(2025)070	Journal of High Energy Physics	true
2025	Multivariate hypergeometric solutions of cosmological (dS) correlators by d log-form differential equations	https://doi.org/10.1007/jhep03(2025)075	Journal of High Energy Physics	true
2025	GKZ hypergeometric systems of the four-loop vacuum Feynman integrals	https://doi.org/10.1007/jhep03(2025)013	Journal of High Energy Physics	true
2025	Wind Speed Weibull Model Identification in Oman, and Computed Normalized Annual Energy Production (<scp>NAEP</scp>) From Wind Turbines Based on Data From Weather Stations	https://doi.org/10.1002/eng2.70089	Engineering Reports	true
2025	Helicity amplitudes in massless QED to higher orders in the dimensional regulator	https://doi.org/10.1103/physrevd.111.036024	Physical review. D/Physical review. D.	true
2025	A first computation of three-loop master integrals for the production of two off-shell vector bosons with different masses	https://doi.org/10.1007/jhep02(2025)088	Journal of High Energy Physics	true
2025	Precision tests of third-generation four-quark operators: one- and two-loop matching	https://doi.org/10.1007/jhep02(2025)038	Journal of High Energy Physics	true
2025	Blade: A package for block-triangular form improved Feynman integrals decomposition	https://doi.org/10.1016/j.cpc.2025.109538	Computer Physics Communications	true
2025	Complete $$ \\mathcal{O}\\left({\\alpha}_s^2\\right) $$ corrections to the leptonic invariant mass spectrum in $$ b\\to {X}_cl{\\overline{\\nu}}_l $$ decay	https://doi.org/10.1007/jhep02(2025)021	Journal of High Energy Physics	true
2025	Analytic two-loop four-point form factor of the stress-tensor supermultiplet in $$ \\mathcal{N} $$ = 4 SYM	https://doi.org/10.1007/jhep02(2025)002	Journal of High Energy Physics	true
2025	Parting gravity’s tail: quadrupole tails at fifth order and beyond via integer partitions	https://doi.org/10.1007/jhep02(2025)016	Journal of High Energy Physics	true
2025	A two-loop four-point form factor at function level	https://doi.org/10.1007/jhep01(2025)012	Journal of High Energy Physics	true
2025	Higher-Order Corrections at the LHC: Current Status and Prospects	https://doi.org/10.1007/978-3-031-76856-9_5	Springer proceedings in physics	false
2025	Enhancing Performance of High-Speed Engineering Flow Computations: The URANOS Case Study	https://doi.org/10.1016/j.procs.2025.02.257	Procedia Computer Science	true
2024	Two-loop running effects in Higgs physics in Standard Model Effective Field Theory	https://doi.org/10.1007/jhep12(2024)220	Journal of High Energy Physics	true
2024	Graded transcendental functions: an application to four-point amplitudes with one off-shell leg	https://doi.org/10.1007/jhep12(2024)215	Journal of High Energy Physics	true
2024	Two-loop planar master integrals for NNLO QCD corrections to W-pair production in quark-antiquark annihilation	https://doi.org/10.1007/jhep12(2024)136	Journal of High Energy Physics	true
2024	Improved constraints on Higgs boson self-couplings with quartic and cubic power dependencies of the cross section*	https://doi.org/10.1088/1674-1137/ad9d1d	Chinese Physics C	true
2024	Mixed QCD-EW corrections to W-pair production at electron-positron colliders	https://doi.org/10.1007/jhep12(2024)038	Journal of High Energy Physics	true
2024	Gravitational Bremsstrahlung in black-hole scattering at $$ \\mathcal{O}\\left({G}^3\\right) $$: linear-in-spin effects	https://doi.org/10.1007/jhep11(2024)109	Journal of High Energy Physics	true
2024	Collinear limit of the four-point energy correlator in <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mi mathvariant="script">N</mml:mi><mml:mo>=</mml:mo><mml:mn>4</mml:mn></mml:math> supersymmetric Yang-Mills theory	https://doi.org/10.1103/physrevd.110.l091901	Physical review. D/Physical review. D.	true
2024	Three-loop contributions to b → sγ associated with the current-current operators	https://doi.org/10.1007/jhep11(2024)058	Journal of High Energy Physics	true
2024	On the electron self-energy to three loops in QED	https://doi.org/10.1007/jhep11(2024)020	Journal of High Energy Physics	true
2024	Three loop QCD corrections to the heavy-light form factors: fermionic contributions	https://doi.org/10.1007/jhep10(2024)254	Journal of High Energy Physics	true
2024	Two-loop five-point two-mass planar integrals and double Lagrangian insertions in a Wilson loop	https://doi.org/10.1007/jhep10(2024)167	Journal of High Energy Physics	true
2024	Nonleptonic B-meson decays to next-to-next-to-leading order	https://doi.org/10.1007/jhep10(2024)144	Journal of High Energy Physics	true
2024	H graph with unequal masses in quantum field theory	https://doi.org/10.1103/physrevd.110.076018	Physical review. D/Physical review. D.	true
2024	Identifying regions in wide-angle scattering via graph-theoretical approaches	https://doi.org/10.1007/jhep09(2024)197	Journal of High Energy Physics	true
2024	Next-to-leading-order electroweak correction to <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mrow><mml:mi>H</mml:mi><mml:mo stretchy="false">→</mml:mo><mml:msup><mml:mrow><mml:mi>Z</mml:mi></mml:mrow><mml:mn>0</mml:mn></mml:msup><mml:mi>γ</mml:mi></mml:mrow></mml:math>	https://doi.org/10.1103/physrevd.110.l051302	Physical review. D/Physical review. D.	true
2024	Two-loop electroweak corrections to the Higgs boson rare decay process <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mi>H</mml:mi><mml:mo stretchy="false">→</mml:mo><mml:mi>Z</mml:mi><mml:mi>γ</mml:mi></mml:math>	https://doi.org/10.1103/physrevd.110.l051301	Physical review. D/Physical review. D.	true
2024	Massive two-loop four-point Feynman integrals at high energies with AsyInt	https://doi.org/10.1007/jhep09(2024)069	Journal of High Energy Physics	true
2024	Next-to-next-to-leading order QCD EW corrections to Z-boson pair production at electron-positron colliders*	https://doi.org/10.1088/1674-1137/ad77b4	Chinese Physics C	true
2024	Heavy-to-light form factors to three loops	https://doi.org/10.1103/physrevd.110.056011	Physical review. D/Physical review. D.	true
2024	Analytic NNLO QCD corrections to top quark pair production in electron-positron collisions	https://doi.org/10.1007/jhep09(2024)014	Journal of High Energy Physics	true
2024	Higher-order tails and RG flows due to scattering of gravitational radiation from binary inspirals	https://doi.org/10.1007/jhep08(2024)161	Journal of High Energy Physics	true
2024	Dissecting polytopes: Landau singularities and asymptotic expansions in 2 → 2 scattering	https://doi.org/10.1007/jhep08(2024)127	Journal of High Energy Physics	true
2024	Three-loop corrections to Higgs boson pair production: reducible contribution	https://doi.org/10.1007/jhep08(2024)096	Journal of High Energy Physics	true
2024	Pseudoscalar Higgs plus jet production at Next-to-Next-to-Leading Order in QCD	https://doi.org/10.1007/jhep08(2024)042	Journal of High Energy Physics	true
2024	A computation of two-loop six-point Feynman integrals in dimensional regularization	https://doi.org/10.1007/jhep08(2024)027	Journal of High Energy Physics	true
2024	B meson mixing at NNLO: technical aspects	https://doi.org/10.1007/jhep08(2024)002	Journal of High Energy Physics	true
2024	Two-loop mixed QCD-EW corrections to charged current Drell-Yan	https://doi.org/10.1007/jhep07(2024)265	Journal of High Energy Physics	true
2024	<mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML"> <mml:mrow> <mml:mrow> <mml:mstyle> <mml:mrow> <mml:mrow> <mml:mi>C</mml:mi> </mml:mrow> </mml:mrow> </mml:mstyle> </mml:mrow> <mml:mtext>osmo</mml:mtext> <mml:mrow> <mml:mstyle> <mml:mrow> <mml:mrow> <mml:mi>F</mml:mi> </mml:mrow> </mml:mrow> </mml:mstyle> </mml:mrow> <mml:mtext>low</mml:mtext> </mml:mrow> </mml:math> : Python package for cosmological correlators	https://doi.org/10.1088/1361-6382/ad6740	Classical and Quantum Gravity	true
2024	Monte Carlo evaluation of divergent one-loop integrals without contour deformation	https://doi.org/10.1140/epjc/s10052-024-13109-6	The European Physical Journal C	true
2024	Learning Feynman integrals from differential equations with neural networks	https://doi.org/10.1007/jhep07(2024)124	Journal of High Energy Physics	true
2024	Two-loop master integrals for leading-color $$ pp\\to t\\overline{t}H $$ amplitudes with a light-quark loop	https://doi.org/10.1007/jhep07(2024)084	Journal of High Energy Physics	true
